locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
159,"City Procuratorate, Deyang",,31.114554,104.407986,30,23,5,16,1,7,16,10,1020,68,1,20141101010000
160,"Refractory Factory, Deyang",,31.108606,104.356506,74,39,13,14,6,5,16,10,1020,68,1,20141101010000
161,Deyang,,31.124715,104.400703,74,39,18,26,6,7,16,10,1020,68,1,20141101010000
162,"Nongnongping, Panzhihua",,26.566698,101.695438,78,43,1,12,3,13,10,9,0,91,0,20141101010000
163,"Hemenkou, Panzhihua",,26.589072,101.578312,97,52,4,8,8,14,10,9,0,91,0,20141101010000
164,"Bingcaogang, Panzhihua",,26.58143,101.718473,53,34,1,1,3,15,10,9,0,91,0,20141101010000
165,"Renhe, Panzhihua",,26.498166,101.746887,46,20,4,12,2,13,10,9,0,91,0,20141101010000
166,"Jinjina, Panzhihua",,26.553226,101.84862,61,17,2,6,3,9,10,9,0,91,0,20141101010000
167,Panzhihua,,26.578779,101.720211,97,52,4,12,8,15,10,9,0,91,0,20141101010000
168,"Shima Middle School, Yibin",,28.815979,104.599199,76,30,10,9,29,9,15,14,1019,93,2,20141101010000
169,"Municipal party committee, Yibin",,28.762654,104.624834,61,14,7,9,5,7,15,14,1019,93,2,20141101010000
170,"No. 4 middle school, Yibin",,28.783257,104.608407,63,21,10,8,2,6,15,14,1019,93,2,20141101010000
171,"City government, Yibin",,28.760477,104.644079,65,22,10,10,5,7,15,14,1019,93,2,20141101010000
172,"Huangjinzui, Yibin",,28.712319,104.578389,82,33,11,7,8,7,15,14,1019,93,2,20141101010000
173,"Shaping Middle School, Yibin",,28.795569,104.681393,25,7,14,6,7,7,15,14,1019,93,2,20141101010000
174,Yibin,,28.748384,104.645766,82,33,14,10,29,9,15,14,1019,93,2,20141101010000
175,"Datang Hill, Zigong",,29.359969,104.757388,68,19,19,10,4,1,16,13,0,83,3,20141101010000
176,"Yanma Road, Zigong",,29.355752,104.724036,21,29,19,16,29,2,16,13,0,83,3,20141101010000
177,"Tanmulin Street, Zigong",,29.353555,104.777397,53,31,21,7,13,5,16,13,0,83,3,20141101010000
178,"Chunhua Road, Zigong",,29.33825,104.771895,65,29,12,6,7,7,16,13,0,83,3,20141101010000
179,Zigong,,29.33617,104.781138,68,31,21,16,29,7,16,13,0,83,3,20141101010000
180,"Jiushi Hill, Luzhou",,28.955347,105.434207,55,23,18,4,1,4,16,14,0,89,2,20141101010000
181,"Xiaoshishang Port, Luzhou",,28.899583,105.447192,70,22,8,6,3,6,16,14,0,89,2,20141101010000
182,"Lantianxian Bridge, Luzhou",,28.852766,105.4358,59,25,14,7,2,2,16,14,0,89,2,20141101010000
183,"City Environment Monitoring Station, Luzhou",,28.895898,105.435802,46,19,7,13,2,3,16,14,0,89,2,20141101010000
184,Luzhou,,28.868782,105.445938,70,25,18,13,3,6,16,14,0,89,2,20141101010000
185,"City Committee, Nanchong",,30.799993,106.082906,70,24,6,3,2,3,16,15,1017,88,3,20141101010000
186,"Refinery Factory, Nanchong",,30.819412,106.10712,74,30,12,4,2,2,16,15,1017,88,3,20141101010000
187,"Gaoping District Monitoring Station, Nanchong",,30.783291,106.110417,85,12,27,16,4,7,16,15,1017,88,3,20141101010000
188,"Jialing District EPB, Nanchong",,30.761255,106.06818,76,25,22,10,3,2,16,15,1017,88,3,20141101010000
189,"City Environmental Monitoring Station, Nanchong",,30.836519,106.11272,70,20,24,17,7,7,16,15,1017,88,3,20141101010000
190,Nanchong,,30.835511,106.114717,85,30,27,36,7,7,16,15,1017,88,3,20141101010000
1249,"City Monitoring Station, Neijiang",,29.592673,105.036234,68,38,15,5,11,3,16,13,0,83,3,20141101010000
1250,"Dongxing District Government , Neijiang",,29.592148,105.074966,76,41,15,5,3,1,16,13,0,83,3,20141101010000
1251,"No 2 middle school, Neijiang",,29.579135,105.068548,85,34,12,8,9,2,16,13,0,83,3,20141101010000
1252,Neijiang,,29.577653,105.06166,95,41,15,8,11,4,16,13,0,83,3,20141101010000
1253,"City Monitoring Station, Suining",,30.610641,105.683583,50,30,40,8,4,31,15,11,0,72,5,20141101010000
1254,"Administrative center , Suining",,30.63206,105.819747,34,28,22,5,6,4,15,11,0,72,5,20141101010000
1255,Suining,,30.530053,105.596307,61,30,40,8,14,31,15,11,0,72,5,20141101010000
1256,"City Monitoring Station, Leshan",,29.560651,103.759211,34,13,16,4,2,6,14,11,0,82,3,20141101010000
1257,"Leshan Giant Buddha Scenic Area , Leshan",,29.543938,103.772706,34,13,15,6,2,6,14,11,0,82,3,20141101010000
1258,Leshan,,29.54935,103.767777,42,16,16,11,3,7,14,11,0,82,3,20141101010000
1259,"Heilongtan , Meishan",,30.047726,103.900649,42,18,17,3,2,5,16,10,1020,68,1,20141101010000
1260,"Bureau of Meteorology, Meishan",,30.084591,103.843715,85,37,10,18,4,7,16,10,1020,68,1,20141101010000
1261,"Xuguang Community , Meishan",,30.066277,103.8516,76,34,9,19,5,2,16,10,1020,68,1,20141101010000
1262,"City Monitoring Station, Meishan",,30.059205,103.836229,70,27,9,18,8,5,16,10,1020,68,1,20141101010000
1263,Meishan,,30.072618,103.85064,85,37,10,19,8,7,16,10,1020,68,1,20141101010000
1264,"Ziyang middle school, Ziyang",,30.147763,104.638024,55,29,23,3,5,7,16,13,0,83,3,20141101010000
1265,Ziyang,,30.126054,104.63004,59,29,23,11,13,10,16,13,0,83,3,20141101010000
191,Shenyang US Consulate,,41.785668,123.432865,411,489,,43,54,,8,4,1017,76,2,20141101010000
192,"Huishan, Shenyang",,41.835421,123.647773,596,668,9,49,24,24,7,4,1017,81,2,20141101010000
193,"Hunnan, Shenyang",,41.758263,123.540809,548,694,3,43,40,22,8,4,1017,76,2,20141101010000
194,"Zhangshi, Shenyang",,41.771679,123.289859,436,482,2,36,43,18,7,4,1017,81,2,20141101010000
195,"Artillery College, Shenyang",,41.835749,123.547799,323,671,8,47,59,22,8,4,1017,76,2,20141101010000
196,"Beiling, Shenyang",,41.849633,123.434146,492,488,2,39,24,19,7,4,1017,81,2,20141101010000
197,"Wenyi Road, Shenyang",,41.767444,123.416144,520,489,9,43,54,21,8,4,1017,76,2,20141101010000
198,"Xiaoheyan, Shenyang",,41.779828,123.484015,432,414,2,54,113,23,7,4,1017,81,2,20141101010000
199,"Taiyuan Street, Shenyang",,41.799646,123.406146,427,382,2,49,54,22,7,4,1017,81,2,20141101010000
200,"Ermao, Shenyang",,41.783011,123.366679,496,571,21,55,84,20,8,4,1017,76,2,20141101010000
201,"Liaoning University, Shenyang",,41.830704,123.361071,464,384,3,28,35,18,8,4,1017,76,2,20141101010000
202,Shenyang,,41.808126,123.437611,456,382,2,49,54,22,7,4,1017,81,2,20141101010000
1104,"wenhua street, Shenyang , Shenyang",,41.774139,123.441839,520,489,9,43,54,22,7,4,1017,81,2,20141101010000
1105,"Tanglin Road , Shenyang , Shenyang",,41.823665,123.562317,323,671,4,47,59,23,7,4,1017,81,2,20141101010000
203,"Ganjingzi, Dalian",,38.9747,121.616893,232,148,22,47,7,17,15,11,1017,77,3,20141101010000
